Station Name: EDENDERRY (Ballinla)
Station Height: 85 M 
Latitude:53.335  ,Longitude: -7.146


date:  -  09 to 09 utc
rain:  -  Precipitation Amount (mm)
ind:   -  Indicator

date,ind,rain
01-dec-2019,0,0.100
02-dec-2019,0,0.500
03-dec-2019,0,0.000
04-dec-2019,0,0.000
05-dec-2019,0,2.100
06-dec-2019,0,0.800
07-dec-2019,0,8.900
08-dec-2019,0,4.300
09-dec-2019,0,1.500
10-dec-2019,0,4.900
11-dec-2019,0,6.000
12-dec-2019,0,7.200
13-dec-2019,0,1.900
14-dec-2019,0,0.100
15-dec-2019,0,0.200
16-dec-2019,0,0.300
17-dec-2019,0,0.100
18-dec-2019,0,4.400
19-dec-2019,0,10.900
20-dec-2019,0,0.100
21-dec-2019,0,0.800
22-dec-2019,0,0.200
23-dec-2019,0,3.400
24-dec-2019,0,0.300
25-dec-2019,0,0.900
26-dec-2019,0,1.800
27-dec-2019,0,0.000
28-dec-2019,0,0.000
29-dec-2019,0,0.000
30-dec-2019,0,0.000
31-dec-2019,0,0.000
01-jan-2020,0,0.100
02-jan-2020,0,2.300
03-jan-2020,0,0.100
04-jan-2020,0,0.000
05-jan-2020,0,5.600
06-jan-2020,0,1.600
07-jan-2020,0,0.100
08-jan-2020,0,13.900
09-jan-2020,0,0.000
10-jan-2020,0,1.100
11-jan-2020,0,8.600
12-jan-2020,0,1.100
13-jan-2020,0,6.600
14-jan-2020,0,3.900
15-jan-2020,0,0.100
16-jan-2020,0,6.000
17-jan-2020,0,0.000
18-jan-2020,0,0.000
19-jan-2020,0,0.300
20-jan-2020,0,0.300
21-jan-2020,0,0.100
22-jan-2020,0,0.000
23-jan-2020,0,0.000
24-jan-2020,0,0.000
25-jan-2020,0,2.300
26-jan-2020,0,1.400
27-jan-2020,0,1.100
28-jan-2020,0,0.000
29-jan-2020,0,0.400
30-jan-2020,0,2.000
31-jan-2020,0,0.100
01-feb-2020,0,3.200
02-feb-2020,0,1.300
03-feb-2020,0,0.800
04-feb-2020,0,0.000
05-feb-2020,0,0.100
06-feb-2020,0,0.000
07-feb-2020,0,2.000
08-feb-2020,0,29.900
09-feb-2020,0,10.200
10-feb-2020,0,2.700
11-feb-2020,0,4.400
12-feb-2020,0,4.300
13-feb-2020,0,0.700
14-feb-2020,0,1.000
15-feb-2020,0,10.600
16-feb-2020,0,5.200
17-feb-2020,0,9.300
18-feb-2020,0,5.300
19-feb-2020,0,12.000
20-feb-2020,0,0.300
21-feb-2020,0,10.500
22-feb-2020,0,12.200
23-feb-2020,0,20.300
24-feb-2020,0,0.600
25-feb-2020,0,1.800
26-feb-2020,0,0.000
27-feb-2020,0,5.600
28-feb-2020,0,6.000
29-feb-2020,0,8.000
01-mar-2020,0,0.400
02-mar-2020,0,0.000
03-mar-2020,0,0.000
04-mar-2020,0,0.000
05-mar-2020,0,0.400
06-mar-2020,0,0.200
07-mar-2020,0,1.300
08-mar-2020,0,1.100
09-mar-2020,0,17.000
10-mar-2020,0,0.600
11-mar-2020,0,7.100
12-mar-2020,0,1.500
13-mar-2020,0,0.900
14-mar-2020,0,5.900
15-mar-2020,0,0.000
16-mar-2020,0,0.500
17-mar-2020,0,4.000
18-mar-2020,0,0.000
19-mar-2020,0,0.000
20-mar-2020,0,0.000
21-mar-2020,0,0.000
22-mar-2020,0,0.000
23-mar-2020,0,0.000
24-mar-2020,0,0.000
25-mar-2020,0,0.000
26-mar-2020,0,0.000
27-mar-2020,0,0.000
28-mar-2020,0,0.100
29-mar-2020,0,0.000
30-mar-2020,0,0.000
31-mar-2020,0,0.000
01-apr-2020,0,1.900
02-apr-2020,0,2.300
03-apr-2020,0,0.200
04-apr-2020,0,0.100
05-apr-2020,0,5.100
06-apr-2020,0,0.400
07-apr-2020,0,0.000
08-apr-2020,0,0.000
09-apr-2020,0,0.000
10-apr-2020,0,0.000
11-apr-2020,0,5.400
12-apr-2020,0,5.900
13-apr-2020,0,0.000
14-apr-2020,0,0.000
15-apr-2020,0,0.000
16-apr-2020,0,0.000
17-apr-2020,0,1.500
18-apr-2020,0,1.000
19-apr-2020,0,0.000
20-apr-2020,0,0.000
21-apr-2020,0,0.000
22-apr-2020,0,0.000
23-apr-2020,0,0.000
24-apr-2020,0,0.000
25-apr-2020,0,0.000
26-apr-2020,0,0.200
27-apr-2020,0,0.000
28-apr-2020,0,1.400
29-apr-2020,0,7.600
30-apr-2020,0,3.900
01-may-2020,0,1.300
02-may-2020,0,0.000
03-may-2020,0,0.000
