Station Name: GEASHILL (Sranure)
Station Height: 86 M 
Latitude:53.193  ,Longitude: -7.308


date:  -  09 to 09 utc
rain:  -  Precipitation Amount (mm)
ind:   -  Indicator

date,ind,rain
01-may-2018,0,3.500
02-may-2018,0,2.500
03-may-2018,0,0.800
04-may-2018,0,0.100
05-may-2018,0,0.000
06-may-2018,0,0.000
07-may-2018,0,0.000
08-may-2018,0,0.500
09-may-2018,0,3.000
10-may-2018,0,2.500
11-may-2018,0,2.900
12-may-2018,0,0.000
13-may-2018,0,0.000
14-may-2018,0,0.000
15-may-2018,0,0.000
16-may-2018,0,0.000
17-may-2018,0,0.000
18-may-2018,0,0.000
19-may-2018,0,0.000
20-may-2018,1,2.800
21-may-2018,1,1.700
22-may-2018,0,0.000
23-may-2018,0,0.000
24-may-2018,0,0.000
25-may-2018,0,0.000
26-may-2018,0,4.000
27-may-2018,0,0.000
28-may-2018,0,0.000
29-may-2018,0,0.000
30-may-2018,0,0.000
31-may-2018,0,0.000
01-jun-2018,0,7.800
02-jun-2018,0,0.000
03-jun-2018,0,0.000
04-jun-2018,0,0.000
05-jun-2018,0,0.000
06-jun-2018,0,0.000
07-jun-2018,0,0.000
08-jun-2018,0,3.100
09-jun-2018,0,0.000
10-jun-2018,0,0.000
11-jun-2018,0,0.000
12-jun-2018,0,0.000
13-jun-2018,0,0.500
14-jun-2018,0,4.600
15-jun-2018,0,2.200
16-jun-2018,0,2.200
17-jun-2018,0,0.000
18-jun-2018,0,0.000
19-jun-2018,0,0.800
20-jun-2018,0,0.000
21-jun-2018,0,0.000
22-jun-2018,0,0.000
23-jun-2018,0,0.000
24-jun-2018,0,0.000
25-jun-2018,0,0.000
26-jun-2018,0,0.000
27-jun-2018,0,0.000
28-jun-2018,0,0.000
29-jun-2018,0,0.000
30-jun-2018,0,0.000
01-jul-2018,0,0.000
02-jul-2018,0,0.000
03-jul-2018,0,0.000
04-jul-2018,0,0.000
05-jul-2018,0,0.000
06-jul-2018,0,0.000
07-jul-2018,0,0.000
08-jul-2018,0,0.000
09-jul-2018,0,0.000
10-jul-2018,0,0.000
11-jul-2018,0,0.000
12-jul-2018,4,0.000
13-jul-2018,0,0.000
14-jul-2018,0,0.000
15-jul-2018,0,0.600
16-jul-2018,0,0.000
17-jul-2018,0,0.000
18-jul-2018,0,0.000
19-jul-2018,0,8.000
20-jul-2018,4,0.000
21-jul-2018,0,0.000
22-jul-2018,4,0.000
23-jul-2018,0,0.000
24-jul-2018,0,0.000
25-jul-2018,0,0.000
26-jul-2018,0,1.300
27-jul-2018,0,10.500
